Date,bolling_upper,sma,bolling_lower,bbw,ema,macd,k,rsi,williams_r,atr,adx,adj_close,return
2002-11-01,-0.9827432171909531,-0.97904299550578,-0.9620080085945893,-0.7029913501566716,-0.9810564601010632,0.39154673371294035,0.5960655047664485,0.05319105434023452,-0.5960655047664485,-0.4514708882328393,-0.29904596175097287,60.03386688232422,0.007776618
2002-11-04,-0.9845770442469554,-0.9776971328318392,-0.9574177165738842,-0.8090100849880268,-0.9800978386983299,0.3975608283252521,0.3998297607458672,0.16088918149405873,-0.3998297607458672,-0.4328316295747302,-0.28001911632405163,60.55207443237305,-0.009180367
2002-11-05,-0.9832604504631589,-0.9771684010670768,-0.9577595468307452,-0.7819557934529714,-0.9789347506098217,0.40362154004719253,0.519052832171168,0.2089256949514986,-0.5190528321711683,-0.43441756149041144,-0.4022496909652059,61.04375076293945,-0.0070715547
2002-11-06,-0.9825081111581323,-0.9759667379653441,-0.9560992284402774,-0.7970246991505066,-0.9776114702976406,0.40987285029710097,0.4446644015453276,0.25421109930608954,-0.4446644015453276,-0.4534756011028269,-0.2256149417269404,61.681514739990234,0.022726297
2002-11-07,-0.9801100296233601,-0.9749573409598885,-0.9564410586971384,-0.7526781260430582,-0.9760556830166949,0.4165261252954575,0.4648060115033912,0.31184834598572997,-0.4648060115033913,-0.4330742676015028,-0.3313925302608295,60.2132453918457,-0.0038089156
2002-11-08,-0.9799219447971035,-0.9745247422432647,-0.9557573981834163,-0.7608551522051361,-0.9756488115559948,0.42181810294327926,0.42976737535109266,0.10834293614541401,-0.4297673753510928,-0.4386529779369792,-0.26512147480743575,59.55549621582031,0.00046098232
2002-11-11,-0.9800159872102319,-0.9746208752914033,-0.9559527297587654,-0.7592129072946135,-0.9757179487926146,0.42532016342529544,0.4181514327961082,0.025865432766056795,-0.41815143279610834,-0.4581962113167175,-0.5878294746609725,58.645263671875,0.016808271
2002-11-12,-0.979780881177411,-0.9749092744358192,-0.9567828889539994,-0.7418293568051086,-0.9763615232269585,0.4265797833845535,0.4020765986077368,-0.08226765002175773,-0.4020765986077368,-0.4562831743705049,-0.9386564195989698,59.010684967041016,-0.013658106
2002-11-13,-0.9799219447971035,-0.9752457401043043,-0.9573200507862096,-0.7352676297252271,-0.9766849738257607,0.42651407401295716,0.40852998985128974,-0.038527707420393686,-0.40852998985128974,-0.4785931757893962,-0.7347870368673459,58.88448715209961,0.0033664703
2002-11-14,-0.9800159872102319,-0.975197673580235,-0.9570758863170231,-0.7407682109067277,-0.9770462177119045,0.4253581050842288,0.406301318767607,-0.054488154112087184,-0.406301318767607,-0.4909270717743103,-0.9618506463608563,60.31955337524414,0.0010963678
