Date,bolling_upper,sma,bolling_lower,bbw,ema,macd,k,rsi,williams_r,atr,adx,adj_close,return
2002-11-01,-0.9827432171909531,-0.97904299550578,-0.9620080085945893,-0.7029913501566716,-0.9810565280397063,0.39154660215067083,0.5960648021092789,0.053176929193096356,-0.5960648021092789,-0.4514708882328393,-0.29904596175097287,60.033843994140625,-0.0015587432
2002-11-04,-0.9845770442469554,-0.9776971328318392,-0.9574177165738842,-0.8090100849880268,-0.9800979162016659,0.3975606737300106,0.39982906538361784,0.1608759520939902,-0.39982906538361773,-0.4328316295747302,-0.28001911632405163,60.552059173583984,-0.020514566
2002-11-05,-0.9832604504631589,-0.9771684010670768,-0.9577595468307452,-0.7819557934529714,-0.9789348315054871,0.40362136438419327,0.5190524005821076,0.20891267113998668,-0.5190524005821074,-0.43441756149041144,-0.4022496909652059,61.0437126159668,0.0150909405
2002-11-06,-0.9825081111581323,-0.9759667379653441,-0.9560992284402774,-0.7970246991505066,-0.9776115688048626,0.40987263553980147,0.44466349415019857,0.2541955694712654,-0.44466349415019857,-0.4534756011028269,-0.2256149417269404,61.681541442871094,0.014376981
2002-11-07,-0.9801100296233601,-0.9749573409598885,-0.9564410586971384,-0.7526781260430582,-0.9760557551983817,0.41652591897003455,0.46480625225598415,0.3118379945882295,-0.46480625225598426,-0.4330742676015028,-0.3313925302608295,60.21324920654297,-0.0069291494
2002-11-08,-0.9799219447971035,-0.9745247422432647,-0.9557573981834163,-0.7608551522051361,-0.975648875612601,0.42181791683195313,0.4297672050606274,0.10833269249897493,-0.42976720506062727,-0.4386529779369792,-0.26512147480743575,59.55549621582031,0.0013021094
2002-11-11,-0.9800159872102319,-0.9746208752914033,-0.9559527297587654,-0.7592129072946135,-0.9757180082598529,0.42532000160174044,0.41815119029629466,0.025856090586473535,-0.41815119029629466,-0.4581962113167175,-0.5878294746609725,58.645259857177734,0.012182708
2002-11-12,-0.979780881177411,-0.9749092744358192,-0.9567828889539994,-0.7418293568051086,-0.9763615811715408,0.4265796444894725,0.4020762820402217,-0.08227569540497592,-0.4020762820402215,-0.4562831743705049,-0.9386564195989698,59.010677337646484,-0.005683689
2002-11-13,-0.9799219447971035,-0.9752457401043043,-0.9573200507862096,-0.7352676297252271,-0.9766850328932385,0.4265139530361859,0.4085296086052692,-0.03853690550654765,-0.4085296086052693,-0.4785931757893962,-0.7347870368673459,58.884483337402344,0.0058735632
2002-11-14,-0.9800159872102319,-0.975197673580235,-0.9570758863170231,-0.7407682109067277,-0.9770462753077276,0.42535800151020897,0.4063010039608488,-0.05449662390117238,-0.40630100396084856,-0.4909270717743103,-0.9618506463608563,60.31952667236328,-0.0032726375
